X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA,PHOTO,DOCUMENT
1271983.62491198,230873.67190814,2585,E Republican St Stairway,E Republican St / Bellevue Ave E,between Melrose Ave E / Bellevue Ave E, ,72,109320,1980/09/02 00:00:00+00,,ERepublicanStStair3DON.jpg,east-republican-stairway-designation-nomination.pdf
1269725.3748353,226208.156304806,2586,Street Clock:  Ben Bridge Jewelers,409 Pike St,409 Pike St, ,116,0,,,BenBridgeClock2DON.jpg,street-clock-designation-nomination.pdf
1269587.62511081,225145.984216556,2587,Brooklyn Building,1222 2nd Ave,1222 2nd Ave,1974700120,131,113088,1986/09/29 00:00:00+00,,Brooklyn3DON.jpg,brooklyn-building-designation.pdf
1281944.65715522,206921.435363889,2588,Street Clock:  Myers Music,4873 Rainier Ave S,1206 1st Ave,1974700210,133,0,,,null.png,street-clock-designation-nomination.pdf
1269375.87520622,224601.265489727,2589,1st Avenue Groups/Waterfront Center:  Grand Pacific Hotel,1116 1st Ave,1115-1117 1st Ave,1697508888,135,111058,1983/03/21 00:00:00+00,,1st AveGroupDON.jpg,DesRptFirstAvenueGroups.pdf
1269407.25014347,224442.265807733,2590,1st Avenue Groups/Waterfront Center:  Colman Building,95 Spring St,94-96 Spring St,9197208888,137,111058,1983/03/21 00:00:00+00,,1st AveGroupDON.jpg,DesRptFirstAvenueGroups.pdf
1269428.25010148,224506.531099141,2591,1st Avenue Groups/Waterfront Center:  Colonial Hotel,1117 1st Ave,1110-1123 1st Ave,9197208888,136,111058,1983/03/21 00:00:00+00,,1st AveGroupDON.jpg,DesRptFirstAvenueGroups.pdf
1269507.74994247,224362.515639141,2592,1st Avenue Groups/Waterfront Center:  Hotel  Cecil,1021 1st Ave,1019-1023 1st Ave,1974600025,142,111058,1983/03/21 00:00:00+00,,1st AveGroupDON.jpg,DesRptFirstAvenueGroups.pdf
1272270.12499514,225195.499865562,2593,"St James Cathedral, Rectory / Site",9th Ave / Marion St,9th Ave / Marion St,8590900085,132,111579,1984/03/12 00:00:00+00,,StJamesCathedral3DON.jpg,st-james-cathedral-designation-nomination.pdf
1252911.1249993,214511.124908894,2594,Schmitz Park Bridge,SW Admiral Way / SW Stevens St,Admiral Way over Schmitz Park Ravine, ,195,110346,1981/12/28 00:00:00+00,,SchmitzParkBridge3DON.jpg, 
1257463.50008088,214840.062571228,2595,Hiawatha Playfield,2700 California Ave SW,2700 California Ave SW,1124039001,175,113090,1986/09/29 00:00:00+00,,Hiawatha4DON.jpg,hiawatha-playfield-designation.pdf
1257553.37490113,214285.312368393,2596,West Seattle High School,4075 SW Stevens St,4075 SW Stevens St,9277200385,176,0,,,WestSeattleHS1DON.jpg,west-seattle-high-school-designation-nomination.pdf
1265515.62505272,211629.875093982,2597,Duwamish Railroad Bridge,Klickitat Ave SW / SW Spokane St,RR lines south of Spokane St Bridge over Duwamish Waterway, ,181,0,,,DuwamRRBridge1DON.jpg,duwamish-rr-bridge-designation-nomination.pdf
1264013.75010373,237041.422039807,2598,Queen Anne Boulevard,XXXXX,Certain Streets on Queen Anne Hill,         0,38,0,,,QABoulevard2DON.jpg,queen-anne-blvd-designation-nomination.pdf
1254492.87511663,252118.609405056,2599,Norvell House,3306 NW 71st St,3306 NW 71st St,8081900175,3,108210,1979/05/14 00:00:00+00,,NorvellRes1DON.jpg,norvell-house-designation.pdf
1265273.7498803,255537.937540144,2600,Street Clock:  Greenwood Jewelers,129 N 85th St,129 N 85th St,2919201281,1,0,,,GreenwoodClockDON.jpg,street-clock-designation-nomination.pdf
1280502.6249343,252275.421755478,2601,Nathan Eckstein Junior High School,3003 NE 75th St,3003 NE 75th St,0425049022,4,0,,,NathanEcksteinJHS1DON.jpg, 
1258324.9999983,250329.187458977,2602,Drake House,6414 22nd Ave NW,6414 22nd Ave NW,2767600235,5,111025,1983/02/22 00:00:00+00,,DrakeHouse2DON.jpg,drake-house-designation-nomination.pdf
1258985.49998964,249541.859309226,2603,New Age Christian Church,1763 NW 62nd St,1763 NW 62nd St,2767602265,6,110352,1981/12/28 00:00:00+00,,NewAgeChurch2DON.jpg,new-age-christian-designation-nomination.pdf
1258586.62513122,247625.531120896,2604,Old Fire Station #18,5427 Russell Ave NW,5427 Russell Ave NW,2767703525,11,106052,1976/12/13 00:00:00+00,,Firestation18dDON.jpg, 
