Permit_Number,Expiration_Date,Business Name,Address_No,Address_St,Borough,City,State,Zipcode,BBL,BIN,Census_Tract_2010,City_Council_District,Community_District,NTA_Code,Latitude,Longitude
40346074,03/31/2016,WORLDWIDE WATER TECHNOLOGIES INC,38-17,CRESCENT STREET,QUEENS,LONG ISLAND CITY,NY,11101,4003870009,4004700,003100,26,401,QN68,40.75550650306,-73.936047302602
40346078,03/31/2015,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2015,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,WATERTOWN,MA,2458,,,,,,,42.363665980124,-71.20170426784
40623421,03/31/2015,CASCADE WATER SERVICES,113,BLOOMINGDALE ROAD,OUTSIDE NYC,HICKSVILLE,NY,11801,,,,,,,40.744579462671,-73.50564105767
41601700,03/31/2015,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
40930302,03/31/2015,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
41343608,03/31/2015,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2015,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2015,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2015,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
41547042,03/31/2015,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
41324554,03/31/2009,FLORAN TECHNOLOGIES INC,801,SW 89TH STREET,OUTSIDE NYC,OKLAHOMA CITY,OK,73139,,,,,,,40.738684907911,-73.991649789884
40346076,03/31/2008,DREW INDUSTRIAL DIV/ASHLAND CHEM,608,W 132ND ST,MANHATTAN,NEW YORK,NY,10027,1019980024,1059928,021900,07,109,MN06,40.735391131052,-74.009140031396
40876458,03/31/2008,ONDEO NALCO WATER HYGIENE SERVICES,55,WHITING STREET,OUTSIDE NYC,PLAINVILLE,CT,6062,,,,,,,40.738684907911,-73.991649789884
40346062,03/31/2008,THE METRO GROUP INC,50-23,23RD STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346077,03/31/2001,GOTHAM REFINING CHEMICAL CORP,18-31,130TH ST,QUEENS,COLLEGE POINT,NY,11356,4041360052,4000000,094500,19,407,QN49,40.766128661355,-73.904376879461
40346075,03/31/1998,CASCADE WATER SERVICES,49,BLOOMINGDALE ROAD,OUTSIDE NYC,HICKSVILLE,NY,11801,,,,,,,40.744579462671,-73.50564105767
40346069,03/31/1996,CONSOLIDATED WATER COND. CORP,360,W 11TH ST,MANHATTAN,NEW YORK,NY,10014,1006377507,1087671,007500,03,102,MN23,40.782957269294,-73.838622065883
40346065,03/31/1993,SAMUEL S. KLAUSNER & JERRY BRODER,161,W 231ST ST,BRONX,BRONX,NY,10463,2032670006,2016144,027700,14,208,BX28,40.753261129143,-73.931032463577
